"uid","full_sci_name","match_type","BB_Accepted","BB_Accepted2","BB_Accepted3","BB_Accepted4","class","fuzzy_score"
"Mogera_wogura","Mogera wogura","1 - exact_fullsci_w_ssp","Mogera wogura",NA,NA,NA,"Mammalia",NA
"Molossops_neglectus","Molossops neglectus","1 - exact_fullsci_w_ssp","Molossops neglectus",NA,NA,NA,"Mammalia",NA
"Molossops_temminckii","Molossops temminckii","1 - exact_fullsci_w_ssp","Molossops temminckii",NA,NA,NA,"Mammalia",NA
"Molossus_alvarezi","Molossus alvarezi","1 - exact_fullsci_w_ssp","Molossus alvarezi",NA,NA,NA,"Mammalia",NA
"Molossus_aztecus","Molossus aztecus","1 - exact_fullsci_w_ssp","Molossus aztecus",NA,NA,NA,"Mammalia",NA
"Molossus_coibensis","Molossus coibensis","1 - exact_fullsci_w_ssp","Molossus coibensis",NA,NA,NA,"Mammalia",NA
"Molossus_currentium","Molossus currentium","1 - exact_fullsci_w_ssp","Molossus currentium",NA,NA,NA,"Mammalia",NA
"Molossus_molossus","Molossus molossus","1 - exact_fullsci_w_ssp","Molossus molossus",NA,NA,NA,"Mammalia",NA
"Molossus_pretiosus","Molossus pretiosus","1 - exact_fullsci_w_ssp","Molossus pretiosus",NA,NA,NA,"Mammalia",NA
"Molossus_rufus","Molossus rufus","1 - exact_fullsci_w_ssp","Molossus rufus",NA,NA,NA,"Mammalia",NA
"Molossus_sinaloae","Molossus sinaloae","1 - exact_fullsci_w_ssp","Molossus sinaloae",NA,NA,NA,"Mammalia",NA
"Monachus_monachus","Monachus monachus","1 - exact_fullsci_w_ssp","Monachus monachus",NA,NA,NA,"Mammalia",NA
"Monodelphis_adusta","Monodelphis adusta","1 - exact_fullsci_w_ssp","Monodelphis adusta",NA,NA,NA,"Mammalia",NA
"Monodelphis_americana","Monodelphis americana","1 - exact_fullsci_w_ssp","Monodelphis americana",NA,NA,NA,"Mammalia",NA
"Monodelphis_arlindoi","Monodelphis arlindoi","1 - exact_fullsci_w_ssp","Monodelphis arlindoi",NA,NA,NA,"Mammalia",NA
"Monodelphis_brevicaudata","Monodelphis brevicaudata","1 - exact_fullsci_w_ssp","Monodelphis brevicaudata",NA,NA,NA,"Mammalia",NA
"Monodelphis_dimidiata","Monodelphis dimidiata","1 - exact_fullsci_w_ssp","Monodelphis dimidiata",NA,NA,NA,"Mammalia",NA
"Monodelphis_domestica","Monodelphis domestica","1 - exact_fullsci_w_ssp","Monodelphis domestica",NA,NA,NA,"Mammalia",NA
"Monodelphis_emiliae","Monodelphis emiliae","1 - exact_fullsci_w_ssp","Monodelphis emiliae",NA,NA,NA,"Mammalia",NA
"Monodelphis_gardneri","Monodelphis gardneri","1 - exact_fullsci_w_ssp","Monodelphis gardneri",NA,NA,NA,"Mammalia",NA
"Monodelphis_glirina","Monodelphis glirina","1 - exact_fullsci_w_ssp","Monodelphis glirina",NA,NA,NA,"Mammalia",NA
"Monodelphis_handleyi","Monodelphis handleyi","1 - exact_fullsci_w_ssp","Monodelphis handleyi",NA,NA,NA,"Mammalia",NA
"Monodelphis_iheringi","Monodelphis iheringi","1 - exact_fullsci_w_ssp","Monodelphis iheringi",NA,NA,NA,"Mammalia",NA
"Monodelphis_kunsi","Monodelphis kunsi","1 - exact_fullsci_w_ssp","Monodelphis kunsi",NA,NA,NA,"Mammalia",NA
"Monodelphis_osgoodi","Monodelphis osgoodi","1 - exact_fullsci_w_ssp","Monodelphis osgoodi",NA,NA,NA,"Mammalia",NA
"Monodelphis_palliolata","Monodelphis palliolata","1 - exact_fullsci_w_ssp","Monodelphis palliolata",NA,NA,NA,"Mammalia",NA
"Monodelphis_peruviana","Monodelphis peruviana","1 - exact_fullsci_w_ssp","Monodelphis peruviana",NA,NA,NA,"Mammalia",NA
"Monodelphis_reigi","Monodelphis reigi","1 - exact_fullsci_w_ssp","Monodelphis reigi",NA,NA,NA,"Mammalia",NA
"Monodelphis_ronaldi","Monodelphis ronaldi","1 - exact_fullsci_w_ssp","Monodelphis ronaldi",NA,NA,NA,"Mammalia",NA
