"Accepted","Synonym"
"Ammospermophilus_interpres","Ammospermophilus_interpres"
"Ammospermophilus_interpres","Tamias_interpres"
"Ammospermophilus_leucurus","Ammospermophilus_leucurus"
"Ammospermophilus_leucurus","Spermophilus_leucurus"
"Ammospermophilus_leucurus","Tamias_leucurus"
"Ammospermophilus_nelsoni","Ammospermophilus_nelsoni"
"Ammotragus_lervia","Ammotragus_lervia"
"Ammotragus_lervia","Antilope_lervia"
"Amorphochilus_schnablii","Amorphochilus_schnablii"
"Amphinectomys_savamis","Amphinectomys_savamis"
"Anathana_ellioti","Anathana_ellioti"
"Anathana_ellioti","Tupaia_ellioti"
"Andalgalomys_olrogi","Andalgalomys_olrogi"
"Andalgalomys_pearsoni","Andalgalomys_pearsoni"
"Andinomys_edax","Andinomys_edax"
"Anisomys_imitator","Anisomys_imitator"
"Anomalurus_beecrofti","Anomalurus_beecrofti"
"Anomalurus_beecrofti","Anomalurops_beecrofti"
"Anomalurus_beecrofti","Anomalurops_chapini"
"Anomalurus_beecrofti","Anomalurus_fulgens"
"Anomalurus_beecrofti","Anomalurus_laniger"
"Anomalurus_derbianus","Anomalurus_derbianus"
"Anomalurus_derbianus","Anomalurus_beldeni"
"Anomalurus_derbianus","Anomalurus_chrysophaenus"
"Anomalurus_derbianus","Anomalurus_cinereus"
"Anomalurus_derbianus","Anomalurus_erythronotus"
"Anomalurus_derbianus","Anomalurus_fraseri"
"Anomalurus_derbianus","Anomalurus_imperator"
"Anomalurus_derbianus","Anomalurus_jacksoni"
"Anomalurus_derbianus","Anomalurus_neavei"
"Anomalurus_derbianus","Anomalurus_nigrensis"
"Anomalurus_derbianus","Anomalurus_orientalis"
"Anomalurus_derbianus","Anomalurus_squamicaudus"
"Anomalurus_derbianus","Pteromys_derbianus"
"Anomalurus_derbianus","Pteromys_squamicaudus"
"Anomalurus_pelii","Anomalurus_pelii"
"Anomalurus_pusillus","Anomalurus_pusillus"
"Anomalurus_pusillus","Anomalurus_batesi"
"Anonymomys_mindorensis","Anonymomys_mindorensis"
"Anotomys_leander","Anotomys_leander"
"Anoura_caudifer","Anoura_caudifer"
"Anoura_caudifer","Anoura_caudifera"
"Anoura_caudifer","Glossophaga_caudifer"
"Anoura_cultrata","Anoura_cultrata"
"Anoura_fistulata","Anoura_fistulata"
"Anoura_geoffroyi","Anoura_geoffroyi"
"Anoura_latidens","Anoura_latidens"
"Anoura_latidens","Anoura_carishina"
"Anoura_luismanueli","Anoura_luismanueli"
"Anourosorex_assamensis","Anourosorex_assamensis"
"Anourosorex_schmidi","Anourosorex_schmidi"
"Anourosorex_squamipes","Anourosorex_squamipes"
"Anourosorex_yamashinai","Anourosorex_yamashinai"
"Anourosorex_yamashinai","Anourosorex_squamipes"
"Antechinomys_laniger","Antechinomys_laniger"
"Antechinomys_laniger","?_laniger"
"Antechinomys_laniger","Sminthopsis_laniger"
"Antechinus_adustus","Antechinus_adustus"
"Antechinus_agilis","Antechinus_agilis"
"Antechinus_argentus","Antechinus_argentus"
"Antechinus_arktos","Antechinus_arktos"
"Antechinus_bellus","Antechinus_bellus"
"Antechinus_bellus","Phascogale_bella"
"Antechinus_flavipes","Antechinus_flavipes"
"Antechinus_flavipes","Phascogale_flavipes"
"Antechinus_godmani","Antechinus_godmani"
"Antechinus_godmani","Phascogale_godmani"
"Antechinus_leo","Antechinus_leo"
"Antechinus_minimus","Antechinus_minimus"
"Antechinus_minimus","Anlechinus_minimus"
"Antechinus_minimus","Dasyurus_minimus"
"Antechinus_mysticus","Antechinus_mysticus"
"Antechinus_stuartii","Antechinus_stuartii"
"Antechinus_subtropicus","Antechinus_subtropicus"
"Antechinus_swainsonii","Antechinus_swainsonii"
"Antechinus_swainsonii","Phascogale_swainsonii"
"Antechinus_vandycki","Antechinus_vandycki"
"Anthops_ornatus","Anthops_ornatus"
"Antidorcas_marsupialis","Antidorcas_marsupialis"
